cluster,gene,score,pvals_adj,logfoldchanges
20,Senp8,13.427711,2.18779012798007e-38,5.429311
20,Gm11149,13.421669,2.326219075509955e-38,5.5267153
21,Fli1,15.548773,4.1786544175827013e-50,14.633317
21,Malat1,3.523323,0.006813641992766445,0.25592333
21,Meg3,3.217359,0.016317691635602045,0.37854373
21,Snhg11,2.123849,0.20977442008942163,0.04086604
21,Gm42418,1.2426906,0.8230786433644272,-0.080299556
21,D5Ertd615e,0.43995473,1.0,1.048451
21,Ppp1r3d,0.41295192,1.0,2.6534271
21,Rpl21,0.38975334,1.0,1.5234782
21,Pappa2,0.3897263,1.0,1.2196771
21,Tnfaip3,0.30489013,1.0,3.3012428
21,Lrrc8a,0.30403772,1.0,3.0306213
21,Gm11541,0.29784748,1.0,2.959254
21,Olfr652,0.290266,1.0,2.3993247
21,Podnl1,0.27961373,1.0,2.3472927
21,Ceacam1,0.2661285,1.0,2.5584636
21,Saa3,0.23921941,1.0,2.392768
21,Gm10603,0.2305116,1.0,1.5796033
21,Gm28727,0.22883023,1.0,1.9253986
21,Itgb3,0.22722276,1.0,1.5998828
21,Prrx1,0.2230815,1.0,1.9252195
21,Csmd3,0.22200204,1.0,-1.5211464
21,Btg3,0.21613978,1.0,1.1416528
21,Micall2,0.20912595,1.0,1.4372469
21,Ednrb,0.20804109,1.0,1.6857605
21,Baz1a,0.20766805,1.0,1.9814664
21,4933416M07Rik,0.2020707,1.0,1.902185
21,A130010J15Rik,0.1986647,1.0,1.4576784
21,Cep76,0.19219333,1.0,1.3072186
21,Pon2,0.18959467,1.0,1.7225503
21,4933404K13Rik,0.18885581,1.0,8.227973
21,Gm26719,0.18828274,1.0,1.2768909
21,Map2k7,0.18767363,1.0,6.972813
21,Gm16401,0.18738168,1.0,7.4064193
21,Gm43701,0.18634728,1.0,6.650954
21,Gm49054,0.18575618,1.0,6.3726945
21,Klhdc9,0.18557778,1.0,1.4255593
21,Mis18bp1,0.18541017,1.0,1.5547686
21,Slc2a4,0.18352877,1.0,5.537578
21,Cd9,0.18302418,1.0,1.3456424
21,Lrat,0.1823574,1.0,5.5272503
21,Arhgap28,0.18222405,1.0,1.6464074
21,Glipr1l2,0.1817663,1.0,5.464401
21,Gm40513,0.18145815,1.0,5.2714434
21,Iltifb,0.18145634,1.0,4.769573
21,Gm3099,0.18102744,1.0,5.426468
21,Rpl10-ps3,0.1809914,1.0,4.685159
21,Gm12320,0.1793659,1.0,4.3953724
21,Gm6710,0.17821795,1.0,4.9715343
21,Cd40,0.17750612,1.0,0.9846913
21,Fzd5,0.1767204,1.0,4.67911
