cell_type,layer,freq
Excit-25,4/med 5,0.0
Excit-25,5,0.0
Excit-25,5/6,0.0
Excit-25,6/7/8,0.0
Excit-25,7,0.0
Excit-25,7-IML,0.0
Excit-25,7/8,0.0
Excit-25,9,0.0
Excit-25,N/A,0.0
Excit-25,med 5,0.0
Excit-29,1-4,0.0
Excit-29,1/2,0.0
Excit-29,1/2/3,0.0
Excit-29,1/2o,0.0
Excit-29,1/2o (2i-4),0.0
Excit-29,1/2o (2i/3),0.0
Excit-29,1/2o (3),0.0
Excit-29,1/2o/2i,0.0
Excit-29,1/2o/2i/3,0.0
Excit-29,1/2o/4,0.0
Excit-29,10,0.0
Excit-29,2i (3/4),0.0
Excit-29,2i/3,0.0
Excit-29,2i/3 (1-4),0.0
Excit-29,2i/3/4,0.0
Excit-29,3 (1-4),0.0
Excit-29,3 (1-5),0.0
Excit-29,3/4,0.0
Excit-29,3/4 (1/2o),0.0
Excit-29,4,0.0
Excit-29,4/5,0.0
Excit-29,4/5/6,0.0
Excit-29,4/lat 5,0.0
Excit-29,4/med 5,0.0
Excit-29,5,0.0
Excit-29,5/6,1.0
Excit-29,6/7/8,0.0
Excit-29,7,0.0
Excit-29,7-IML,0.0
Excit-29,7/8,0.0
Excit-29,9,0.0
Excit-29,N/A,0.0
Excit-29,med 5,0.0
Excit-30,1-4,0.0
Excit-30,1/2,0.0
Excit-30,1/2/3,0.0
Excit-30,1/2o,0.0
Excit-30,1/2o (2i-4),0.0
Excit-30,1/2o (2i/3),0.0
Excit-30,1/2o (3),0.0
Excit-30,1/2o/2i,0.0
Excit-30,1/2o/2i/3,0.0
Excit-30,1/2o/4,0.0
Excit-30,10,0.0
Excit-30,2i (3/4),0.0
Excit-30,2i/3,0.0
Excit-30,2i/3 (1-4),0.0
Excit-30,2i/3/4,0.0
Excit-30,3 (1-4),0.0
Excit-30,3 (1-5),0.0
Excit-30,3/4,0.0
Excit-30,3/4 (1/2o),0.0
Excit-30,4,0.0
Excit-30,4/5,0.0
Excit-30,4/5/6,0.0
Excit-30,4/lat 5,0.0
Excit-30,4/med 5,0.0
Excit-30,5,1.0
Excit-30,5/6,0.0
Excit-30,6/7/8,0.0
Excit-30,7,0.0
Excit-30,7-IML,0.0
